rank,language,name,requests_per_second,description
1,Rust,"may-minihttp",1327378,"may-minihttp [may-minihttp] (Rust; may-minihttp on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #831]"
2,C,"h2o",1226814,"libh2o [h2o] (None; h2o on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #468]"
3,Rust,"ntex [sailfish]",1210348,"ntex [sailfish] [ntex-db] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1059]"
4,Rust,"ntex [async-std,db]",1197351,"ntex [async-std,db] [ntex-db-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1170]"
5,Rust,"xitca-web",1146712,"xitca-web [xitca-web] (None; xitca-server on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1217]"
6,Rust,"xitca-web [orm]",1115124,"xitca-web [orm] [xitca-web-orm] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1472]"
7,Rust,"axum [postgresql]",1114265,"Axum [Postgresql] [axum-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1112]"
8,C++,"lithium-postgres",1073846,"lithium [lithium-postgres] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #825]"
9,C++,"lithium-postgres-beta",1068560,"lithium [lithium-postgres-beta] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #826]"
10,Rust,"hyper-db",1066644,"hyper [hyper-db] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #779]"
11,Rust,"viz [postgresql]",1060105,"Viz [Postgresql] [viz-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1364]"
12,C++,"drogon-core",1042653,"drogon [drogon-core] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #689]"
13,Java,"vertx-postgres",1040599,"vert.x [vertx-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #977]"
14,Java,"quarkus, vert.x",1028408,"Quarkus, Vert.x [quarkus-vertx] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1430]"
15,JavaScript,"just-js",982024,"just-js [just] (just-js; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1046]"
16,Rust,"salvo [postgres]",969747,"Salvo [postgres] [salvo-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1340]"
17,Go,"fasthttp-prefork",959399,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
18,pascal,"mormot [async,nopin]",953865,"mormot [async,nopin] [mormot-postgres-raw] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1305]"
19,C++,"drogon",947069,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
20,Go,"atreugo-prefork",933521,"atreugo [atreugo-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #646]"
21,Java,"jooby-pgclient",917719,"jooby [jooby-pgclient] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #794]"
22,Java,"quarkus, postgresql",916813,"Quarkus, PostgreSQL [quarkus-reactive-routes-pgclient] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1429]"
23,Java,"officefloor-async",911341,"OfficeFloor-async [officefloor-rawsqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1060]"
24,Java,"officefloor-sqlclient",911243,"OfficeFloor-sqlclient [officefloor-sqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1172]"
