rank,language,name,requests_per_second,description
1,C,"libreactor",3118330,"libreactor [libreactor-server] (libreactor; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1048]"
2,Rust,"may-minihttp",3102062,"may-minihttp [may-minihttp] (Rust; may-minihttp on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #831]"
3,C,"libreactor",3098626,"libreactor [libreactor] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #409]"
4,C++,"lithium",3041049,"lithium [lithium] (None; None on Linux; MySQL on Linux; Full ORM; Micro class; Realistic approach) [Test #57]"
5,v,"pico.v",3031805,"pico.v [pico.v] (None; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #878]"
6,Java,"edap-http-fast",3019148,"edap-http-fast [edap-http-fast] (edap; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1019]"
7,Java,"edap-http",3002791,"edap-http [edap-http] (edap; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1018]"
8,Java,"wizzardo-http",2972955,"wizzardo-http [wizzardo-http] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #990]"
9,Java,"firenio-http-lite",2972507,"None [firenio-http-lite] (firenio; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #732]"
10,Rust,"ntex [raw]",2963471,"ntex [raw] [ntex-plt] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1058]"
11,Java,"smart-socket",2948084,"None [smart-socket] (smartboot; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #934]"
12,C,"h2o",2923581,"libh2o [h2o] (None; h2o on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #468]"
13,Rust,"ntex [async-std,platform]",2899759,"ntex [async-std,platform] [ntex-plt-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1171]"
14,Java,"vertx",2889592,"vert.x [vertx] (vert.x; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #222]"
15,Rust,"hyper",2885610,"hyper [hyper] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #350]"
16,JavaScript,"just-js",2868204,"just-js [just] (just-js; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1046]"
17,Java,"firenio",2866762,"None [firenio] (firenio; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #731]"
18,C++,"ffead-cpp-v-picov",2857764,"ffead-cpp-v-picov [ffead-cpp-v-picov] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1035]"
19,Scala,"otavia",2845223,"otavia [otavia] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1421]"
20,Kotlin,"vertx-web-kotlin-dsljson",2836665,"vertx-web-kotlin-dsljson [vertx-web-kotlin-dsljson] (vert.x; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1463]"
21,Nim,"httpbeast",2808169,"None [httpbeast] (None; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #774]"
22,Python,"mrhttp",2802615,"MrHTTP [mrhttp] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1417]"
23,Scala,"otavia",2773406,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
24,C++,"ffead-cpp [v-prof]",2771261,"ffead-cpp [v-prof] [ffead-cpp-v-picov-raw-profiled] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1130]"
25,Rust,"ntex",2767355,"ntex [ntex] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1056]"
