rank,language,name,requests_per_second,description
1,Python,"mrhttp",28384305,"MrHTTP [mrhttp] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1417]"
2,Rust,"faf",28034705,"faf [faf] (None; None on Linux; None on none; none ORM; Platform class; Realistic approach) [Test #1123]"
3,C,"libreactor",28025992,"libreactor [libreactor] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #409]"
4,v,"pico.v",28025837,"pico.v [pico.v] (None; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #878]"
5,JavaScript,"uwebsockets.js",27991649,"uWebSockets.js [uwebsockets.js] (nodejs; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1358]"
6,Go,"silverlining",27962675,"silverlining [silverlining-prefork] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1194]"
7,C++,"lithium",27953333,"lithium [lithium] (None; None on Linux; MySQL on Linux; Full ORM; Micro class; Realistic approach) [Test #57]"
8,C,"libreactor",27943940,"libreactor [libreactor-server] (libreactor; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1048]"
9,Rust,"may-minihttp",27906423,"may-minihttp [may-minihttp] (Rust; may-minihttp on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #831]"
10,C#,"aspnetcore-aot",27770995,"asp.net core [aspnetcore-aot] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #611]"
11,Java,"firenio-http-lite",27755180,"None [firenio-http-lite] (firenio; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #732]"
12,C#,"aspnetcore",27530836,"asp.net core [aspnetcore] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #598]"
13,JavaScript,"ultimate-express",27324164,"ultimate-express [ultimate-express] (nodejs; µws on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1457]"
14,typescript,"elysia",26060081,"Elysia [elysia] (bun; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1236]"
15,typescript,"elysia [postgresql]",26054652,"Elysia [PostgreSQL] [elysia-compiled] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1237]"
16,JavaScript,"just-js",25739560,"just-js [just] (just-js; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1046]"
17,Rust,"ntex [raw]",24925515,"ntex [raw] [ntex-plt] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1058]"
18,Go,"gnet",24924048,"gnet [gnet] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #703]"
19,Go,"silverlining",24704100,"silverlining [silverlining] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1193]"
20,C++,"libsniper",24120587,"None [libsniper] (None; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #822]"
21,C++,"cuehttp",23408698,"cuehttp [cuehttp] (None; None on Linux; None on Linux; none ORM; Fullstack class; Realistic approach) [Test #1011]"
22,Rust,"ntex [async-std,platform]",23164471,"ntex [async-std,platform] [ntex-plt-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1171]"
23,Java,"wizzardo-http",22212355,"wizzardo-http [wizzardo-http] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #990]"
24,Java,"rapidoid-http-fast",20054554,"rapidoid-http-fast [rapidoid-http-fast] (Rapidoid; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #526]"
25,Java,"rapidoid",19319963,"rapidoid [rapidoid] (Rapidoid; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #367]"
26,Java,"activej",19171625,"activej [activej] (activej; None on Linux; None on none; none ORM; Micro class; Realistic approach) [Test #1094]"
27,C#,"beetlex-core",18666892,"beetlex [beetlex-core] (.NET; beetlex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #652]"
28,Rust,"xitca-web",18436533,"xitca-web [xitca-web] (None; xitca-server on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1217]"
29,C++,"ffead-cpp-v-picov",18366912,"ffead-cpp-v-picov [ffead-cpp-v-picov] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1035]"
30,Nim,"httpbeast",17955351,"None [httpbeast] (None; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #774]"
31,Scala,"scalene",17875114,"scalene [scalene] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #925]"
32,Java,"edap-http",17832353,"edap-http [edap-http] (edap; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1018]"
33,Python,"socketify.py [pypy3]",17501239,"socketify.py [PyPy3] [socketify.py] (None; socketify.py on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1345]"
34,Rust,"hyper",17468473,"hyper [hyper] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #350]"
35,C++,"ffead-cpp [v-prof]",17271509,"ffead-cpp [v-prof] [ffead-cpp-v-picov-raw-profiled] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1130]"
36,Java,"firenio",16991116,"None [firenio] (firenio; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #731]"
37,Rust,"xitca-web [orm]",16625598,"xitca-web [orm] [xitca-web-orm] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1472]"
38,Rust,"xitca-web [sync]",16615547,"xitca-web [sync] [xitca-web-sync] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1473]"
39,C++,"cinatra",15815883,"cinatra [cinatra] (None; None on Linux; None on Linux; none ORM; Fullstack class; Realistic approach) [Test #667]"
40,Scala,"otavia",14946870,"otavia [otavia] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1421]"
41,Scala,"otavia",14740279,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
42,C++,"drogon",14655006,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
43,Go,"fasthttp-prefork",14566665,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
44,Java,"vertx",14340940,"vert.x [vertx] (vert.x; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #222]"
