rank,language,name,requests_per_second,description
1,JavaScript,"just-js",89470,"just-js [just] (just-js; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1046]"
2,Kotlin,"vertx-web-kotlinx-postgresql",89289,"vertx-web-kotlinx-postgresql [vertx-web-kotlin-dsljson-postgresql] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1361]"
3,Rust,"salvo [postgres]",89194,"Salvo [postgres] [salvo-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1340]"
4,Java,"quarkus, vert.x",88902,"Quarkus, Vert.x [quarkus-vertx] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1430]"
5,Java,"vertx-postgres",88708,"vert.x [vertx-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #977]"
6,Rust,"ntex [sailfish]",88589,"ntex [sailfish] [ntex-db] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1059]"
7,Rust,"xitca-web",88534,"xitca-web [xitca-web] (None; xitca-server on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1217]"
8,Rust,"viz [postgresql]",88468,"Viz [Postgresql] [viz-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1364]"
9,Rust,"xitca-web [orm]",88296,"xitca-web [orm] [xitca-web-orm] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1472]"
10,Rust,"ntex [async-std,db]",88149,"ntex [async-std,db] [ntex-db-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1170]"
11,Rust,"may-minihttp",88108,"may-minihttp [may-minihttp] (Rust; may-minihttp on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #831]"
12,Java,"inverno",87919,"inverno [inverno-postgres] (inverno; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1151]"
13,Rust,"axum [postgresql]",87231,"Axum [Postgresql] [axum-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1112]"
14,C,"h2o",86788,"libh2o [h2o] (None; h2o on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #468]"
15,Java,"wizzardo-http",86504,"wizzardo-http [wizzardo-http] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #990]"
16,Kotlin,"vertx-web-kotlinx-postgresql",86393,"vertx-web-kotlinx-postgresql [vertx-web-kotlinx-postgresql] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1465]"
17,Java,"quarkus, postgresql",86323,"Quarkus, PostgreSQL [quarkus-reactive-routes-pgclient] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1429]"
18,Java,"jooby-pgclient",86183,"jooby [jooby-pgclient] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #794]"
19,Java,"officefloor-async",85997,"OfficeFloor-async [officefloor-rawsqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1060]"
20,Java,"greenlightning",85912,"greenlightning [greenlightning] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #754]"
21,Java,"micronaut",85904,"micronaut [micronaut] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #832]"
22,Java,"helidon",85818,"helidon [helidon] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #764]"
23,Java,"officefloor-sqlclient",85733,"OfficeFloor-sqlclient [officefloor-sqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1172]"
24,Kotlin,"vertx-web-kotlin-coroutines-postgres",85625,"vertx-web-kotlin-coroutines-postgres [vertx-web-kotlin-coroutines-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1211]"
