rank,language,name,requests_per_second,description
1,Rust,"viz [postgresql]",59374,"Viz [Postgresql] [viz-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1364]"
2,Java,"inverno",59146,"inverno [inverno-postgres] (inverno; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1151]"
3,JavaScript,"just-js",58885,"just-js [just] (just-js; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1046]"
4,Rust,"ntex [async-std,db]",58757,"ntex [async-std,db] [ntex-db-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1170]"
5,Rust,"may-minihttp",58532,"may-minihttp [may-minihttp] (Rust; may-minihttp on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #831]"
6,Rust,"salvo [postgres]",58340,"Salvo [postgres] [salvo-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1340]"
7,Java,"vertx-postgres",58300,"vert.x [vertx-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #977]"
8,C,"h2o",58146,"libh2o [h2o] (None; h2o on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #468]"
9,Rust,"ntex [sailfish]",58143,"ntex [sailfish] [ntex-db] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1059]"
10,Kotlin,"vertx-web-kotlinx-postgresql",58138,"vertx-web-kotlinx-postgresql [vertx-web-kotlin-dsljson-postgresql] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1361]"
11,JavaScript,"hyperexpress-postgres",58070,"hyperexpress-postgres [hyperexpress-postgres] (nodejs; µws on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1279]"
12,JavaScript,"uwebsockets.js",57875,"uWebSockets.js [uwebsockets.js-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1359]"
13,Java,"quarkus, vert.x",57616,"Quarkus, Vert.x [quarkus-vertx] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1430]"
14,JavaScript,"ultimate-express-postgres",57569,"ultimate-express-postgres [ultimate-express-postgres] (nodejs; µws on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1459]"
15,Java,"officefloor-async",56791,"OfficeFloor-async [officefloor-rawsqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1060]"
16,JavaScript,"fastify-postgres",56770,"fastify [fastify-postgres] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #724]"
17,typescript,"ditsmod [postgres]",56308,"ditsmod [postgres] [ditsmod-postgres] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1232]"
18,JavaScript,"hono",55713,"Hono [hono-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1391]"
19,Rust,"axum [postgresql]",55708,"Axum [Postgresql] [axum-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1112]"
20,Rust,"xitca-web",55676,"xitca-web [xitca-web] (None; xitca-server on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1217]"
21,Java,"jooby-pgclient",52019,"jooby [jooby-pgclient] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #794]"
22,JavaScript,"express[postgres.js]",50818,"express[postgres.js] [express-postgresjs] (nodejs; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1383]"
23,Scala,"otavia",47061,"otavia [otavia] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1421]"
24,Kotlin,"vertx-web-kotlinx-postgresql",46364,"vertx-web-kotlinx-postgresql [vertx-web-kotlinx-postgresql] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1465]"
25,Scala,"otavia",46264,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
26,Java,"officefloor-sqlclient",46050,"OfficeFloor-sqlclient [officefloor-sqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1172]"
27,Java,"vertx-web-postgres",45893,"vertx-web [vertx-web-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #488]"
28,C++,"userver",45783,"userver [userver] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1356]"
29,Java,"quarkus, postgresql",45717,"Quarkus, PostgreSQL [quarkus-reactive-routes-pgclient] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1429]"
30,Java,"wizzardo-http",45641,"wizzardo-http [wizzardo-http] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #990]"
31,JavaScript,"nodejs-postgresjs-raw",45595,"nodejs-postgresjs-raw [nodejs-postgresjs-raw] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1420]"
32,Kotlin,"vertx-web-kotlin-coroutines-postgres",45501,"vertx-web-kotlin-coroutines-postgres [vertx-web-kotlin-coroutines-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1211]"
33,Rust,"xitca-web [orm]",45144,"xitca-web [orm] [xitca-web-orm] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1472]"
34,pascal,"mormot [async]",43476,"mormot [async] [mormot-postgres-async] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1304]"
35,Java,"micronaut",43322,"micronaut [micronaut] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #832]"
36,typescript,"elysia [postgresql]",42772,"Elysia [PostgreSQL] [elysia-compiled] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1237]"
37,typescript,"elysia [smol] [postgresql]",42760,"Elysia [smol] [PostgreSQL] [elysia-smol-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1381]"
38,Scala,"vertx-web-scala",42714,"vertx-web [vertx-web-scala] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #978]"
39,typescript,"elysia [postgresql]",42650,"Elysia [PostgreSQL] [elysia-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1380]"
40,Java,"micronaut vertx pg client graalvm",40870,"Micronaut Vertx PG Client GraalVM [micronaut-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1298]"
41,C++,"drogon-core",39418,"drogon [drogon-core] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #689]"
42,typescript,"ditsmod-bun v3.0 [postgres]",38056,"ditsmod-bun v3.0 [postgres] [ditsmod-postgres-bun] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1377]"
43,C++,"lithium-postgres",37229,"lithium [lithium-postgres] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #825]"
44,PHP,"php-ngx-pgsql",36801,"php-ngx [php-ngx-pgsql] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #872]"
45,PHP,"ubiquity-ngx-raw",36759,"ubiquity-ngx-raw [ubiquity-ngx-raw] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1083]"
